Gender,Age Range,Ethnicity,Department,Education Level,Years of Experience,Performance Score,Training Participation,Support for Diversity Initiatives,Experienced Workplace Bias,Projects Handled,Overtime Hours,Promotion Status
Female,30-39,Asian,IT,Master,7,80,Yes,Yes,No,5,10,Yes
Female,40-49,White,Finance,Bachelor,15,85,Yes,No,No,8,15,Yes
Female,20-29,Black,HR,Bachelor,3,70,No,No,No,2,5,Yes
Female,30-39,Asian,IT,PhD,10,90,Yes,Yes,No,7,12,Yes
Female,40-49,White,Finance,Master,20,88,Yes,Yes,No,10,20,Yes
Female,30-39,Asian,IT,Master,8,80,Yes,Yes,No,6,11,Yes
Female,40-49,White,Finance,PhD,25,95,Yes,Yes,No,12,25,Yes
Female,20-29,Black,HR,Bachelor,2,60,No,No,No,1,3,Yes
Female,30-39,Asian,IT,Master,9,85,Yes,Yes,No,7,13,Yes
Female,40-49,White,Finance,Master,18,87,Yes,Yes,No,9,18,Yes
Female,30-39,Asian,IT,Master,7,80,Yes,Yes,No,5,10,Yes
Female,40-49,White,Finance,Bachelor,15,85,Yes,No,No,8,15,Yes
Female,20-29,Black,HR,Bachelor,3,70,No,No,No,2,5,Yes
Female,30-39,Asian,IT,PhD,10,90,Yes,Yes,No,7,12,Yes
Female,40-49,White,Finance,Master,20,88,Yes,Yes,No,10,20,Yes
Female,30-39,Asian,IT,Master,8,80,Yes,Yes,No,6,11,Yes
Female,40-49,White,Finance,PhD,25,95,Yes,Yes,No,12,25,Yes
Female,20-29,Black,HR,Bachelor,2,60,No,No,No,1,3,Yes
Female,30-39,Asian,IT,Master,9,85,Yes,Yes,No,7,13,Yes
Female,40-49,White,Finance,Master,18,87,Yes,Yes,No,9,18,Yes
Female,30-39,Asian,IT,Master,7,80,Yes,Yes,No,5,10,Yes
Female,40-49,White,Finance,Bachelor,15,85,Yes,No,No,8,15,Yes
Female,20-29,Black,HR,Bachelor,3,70,No,No,No,2,5,Yes
Female,30-39,Asian,IT,PhD,10,90,Yes,Yes,No,7,12,Yes
Female,40-49,White,Finance,Master,20,88,Yes,Yes,No,10,20,Yes
Female,30-39,Asian,IT,Master,8,80,Yes,Yes,No,6,11,Yes
Female,40-49,White,Finance,PhD,25,95,Yes,Yes,No,12,25,Yes
Female,20-29,Black,HR,Bachelor,2,60,No,No,No,1,3,Yes
Female,30-39,Asian,IT,Master,9,85,Yes,Yes,No,7,13,Yes
Female,40-49,White,Finance,Master,18,87,Yes,Yes,No,9,18,Yes
Male,30-39,Asian,IT,Master,7,80,Yes,Yes,No,5,10,No
Male,40-49,White,Finance,Bachelor,15,85,Yes,No,No,8,15,No
Male,20-29,Black,HR,Bachelor,3,70,No,No,No,2,5,No
Male,30-39,Asian,IT,PhD,10,90,Yes,Yes,No,7,12,No
Male,40-49,White,Finance,Master,20,88,Yes,Yes,No,10,20,No
Male,30-39,Asian,IT,Master,8,80,Yes,Yes,No,6,11,No
Male,40-49,White,Finance,PhD,25,95,Yes,Yes,No,12,25,No
Male,20-29,Black,HR,Bachelor,2,60,No,No,No,1,3,No
Male,30-39,Asian,IT,Master,9,85,Yes,Yes,No,7,13,No
Male,40-49,White,Finance,Master,18,87,Yes,Yes,No,9,18,No
Male,30-39,Asian,IT,Master,7,80,Yes,Yes,No,5,10,No
Male,40-49,White,Finance,Bachelor,15,85,Yes,No,No,8,15,No
Male,20-29,Black,HR,Bachelor,3,70,No,No,No,2,5,No
Male,30-39,Asian,IT,PhD,10,90,Yes,Yes,No,7,12,No
Male,40-49,White,Finance,Master,20,88,Yes,Yes,No,10,20,No
Male,30-39,Asian,IT,Master,8,80,Yes,Yes,No,6,11,No
Male,40-49,White,Finance,PhD,25,95,Yes,Yes,No,12,25,No
Male,20-29,Black,HR,Bachelor,2,60,No,No,No,1,3,No
Male,30-39,Asian,IT,Master,9,85,Yes,Yes,No,7,13,No
Male,40-49,White,Finance,Master,18,87,Yes,Yes,No,9,18,No
